MPG,USG,FTA,FT%,TPA,2P%,threePA,3P%,eFG,TS,PPG,AST,ORTG
30.6,13.6,46,0.87,91,0.462,89,0.382,0.517,0.564,9.4,14.7,118.4
28.5,12.6,23,0.913,36,0.389,119,0.328,0.468,0.503,6.9,5.4,97.4
20.8,21.4,42,0.762,155,0.535,38,0.237,0.5,0.532,9.4,7.4,105.5
39.1,32,216,0.884,351,0.536,145,0.379,0.545,0.619,30.5,19.3,118.9
37.5,18.4,81,0.802,133,0.526,145,0.359,0.532,0.576,15,27.5,116.8
37.1,23,87,0.759,279,0.541,104,0.279,0.508,0.54,19,12.9,110.2
24.7,15.3,31,0.774,68,0.397,98,0.388,0.506,0.534,8,15.7,110
15.9,18.1,19,0.737,64,0.5,62,0.387,0.54,0.558,6.5,11.4,110
38.4,29,157,0.943,187,0.524,244,0.377,0.548,0.62,28.2,23.9,119.5
38.7,17.5,71,0.718,171,0.591,57,0.228,0.529,0.563,13.3,30.8,109.9
14.6,12.7,25,0.84,73,0.466,2,0,0.453,0.517,4,13,115.7
20.5,11.9,29,0.724,93,0.688,0,0,0.688,0.704,7.1,6.6,138.9
10.7,12.8,10,0.4,27,0.593,32,0.313,0.525,0.521,3,2.3,107.7
39,22.1,41,0.902,202,0.465,158,0.443,0.553,0.575,20.7,8.3,107.3
25,15.3,36,0.75,58,0.397,51,0.294,0.417,0.473,7.4,7.5,104.2
17.2,17.7,25,0.8,60,0.567,21,0.333,0.549,0.592,6.8,7.9,108.3
20.4,12.5,11,0.818,30,0.3,52,0.404,0.494,0.518,5.6,5.7,108.6
24.2,15.9,36,0.639,81,0.556,28,0.25,0.509,0.537,8.4,9,111.4
23.3,16,44,0.818,60,0.567,51,0.353,0.55,0.606,9.9,5.7,126.4
28.8,17.9,41,0.756,142,0.521,4,0.25,0.517,0.555,11.4,6.5,112.2
40.6,29.4,114,0.833,172,0.459,158,0.373,0.508,0.566,26.9,27.9,111.7
39.7,27.6,56,0.732,233,0.464,117,0.393,0.506,0.527,24.7,16.8,108.3
15.3,11.6,15,0.8,45,0.311,1,1,0.337,0.409,2.7,19.4,99.5
30,14,37,0.378,86,0.628,80,0.35,0.578,0.565,9.8,18.4,119.9
34.3,32.2,168,0.637,207,0.536,55,0.327,0.527,0.57,25.5,25.1,111.5
28.2,24.4,51,0.706,113,0.522,72,0.236,0.457,0.494,13.7,23.7,101.7
21.6,11.7,8,0.5,35,0.629,42,0.357,0.578,0.577,6.2,9.2,116.7
26.3,15,33,0.818,70,0.614,48,0.417,0.619,0.653,11.5,16.2,138.7
18.2,15.4,25,0.8,41,0.561,40,0.3,0.506,0.554,6.8,11.2,122.5
29.2,15.3,29,0.828,59,0.661,75,0.293,0.537,0.572,11.2,7.1,116.1
34.4,21,52,0.885,109,0.404,92,0.435,0.517,0.567,16.9,19.6,112.9
23.4,21.6,26,0.692,80,0.4,55,0.273,0.404,0.434,9.1,11,95.3
20.1,18,31,0.71,46,0.37,47,0.404,0.489,0.53,8.1,7.3,112.6
23.6,11,16,0.563,33,0.485,36,0.472,0.601,0.605,6.6,5.1,125.8
37,16,38,0.868,101,0.525,57,0.351,0.525,0.569,14.2,9.3,118.9
39.8,26.5,78,0.846,205,0.537,56,0.393,0.548,0.596,25.1,37.2,126.1
33.5,19.2,61,0.77,119,0.513,38,0.316,0.503,0.558,14.6,3.6,111.4
16,19.4,13,0.692,73,0.452,13,0,0.384,0.409,5.4,24.3,99.1
36.3,26.5,62,0.903,171,0.462,83,0.337,0.476,0.53,21.3,21.7,113.6
15.6,13.5,28,0.571,45,0.533,1,0,0.522,0.549,4.6,13.8,122.2
9.4,12,5,0.8,37,0.649,0,0,0.649,0.663,2.7,16.5,131.8
21.3,20.6,28,0.821,41,0.537,76,0.289,0.47,0.514,9.5,5,102.7
4.8,22.7,3,0.667,16,0.438,13,0.154,0.345,0.363,1.6,2.3,69.4
7.6,16.7,6,0.833,23,0.304,19,0.263,0.345,0.381,2.1,13.3,105.5
35.1,23,72,0.875,130,0.515,45,0.267,0.486,0.564,19.4,23.2,119.4
36.9,18.7,26,0.846,103,0.476,63,0.349,0.494,0.524,15.5,16.4,108.7
31.3,17.4,20,0.85,37,0.486,87,0.414,0.581,0.606,13.4,7.5,106.6
35.1,16.6,40,0.575,116,0.621,0,0,0.621,0.625,13.9,26.3,118.1
7,15.4,10,0.7,31,0.548,0,0,0.548,0.579,2.7,15.2,128.6
11.4,17.5,4,1,36,0.472,34,0.324,0.479,0.495,4.2,8.8,99.4
36.8,33,113,0.903,163,0.552,80,0.438,0.586,0.661,32.3,21.6,119.7
30.1,15.1,35,0.429,82,0.561,0,0,0.561,0.549,9.7,7.7,115.2
37.2,20.3,28,0.857,55,0.527,95,0.4,0.573,0.604,17.8,5.7,107
8.8,20.4,5,1,11,0.182,29,0.345,0.425,0.462,3.5,1.6,91.9
38.6,37.1,98,0.837,127,0.48,137,0.35,0.504,0.567,31.6,33.7,110.2
36.1,22.6,45,0.844,85,0.576,63,0.27,0.503,0.557,17,25.1,108.8
38.7,11,23,0.826,31,0.452,57,0.456,0.602,0.637,11.4,6.6,133.1
30.4,30.2,90,0.822,120,0.467,39,0.308,0.465,0.559,20.2,17.9,105.4
21.1,15,19,0.632,32,0.688,32,0.281,0.555,0.574,7.5,7.5,113.5
15.5,18.6,9,0.333,32,0.625,33,0.424,0.631,0.616,7.7,11.8,125.2
14.7,13.5,11,0.727,17,0.471,21,0.333,0.487,0.525,4.1,16.2,107.5
7.9,15.9,4,0.5,3,0.333,16,0.25,0.368,0.385,1.6,5,66.5
10.5,25.2,19,0.842,37,0.649,3,0,0.6,0.662,6.4,17.8,114.1
9,22.6,9,0.778,36,0.417,4,0.25,0.413,0.455,4,6.9,103.6
21.5,14.8,6,0.667,27,0.407,35,0.457,0.565,0.572,7.4,7.2,109
19.3,12,2,1,13,0.692,34,0.353,0.574,0.585,5.6,3.6,106.1
8.3,15.8,0,0,27,0.444,0,0,0.444,0.444,2.7,22.3,106.4
12.8,7.5,2,0.5,8,0.75,6,0.333,0.643,0.638,2.1,3.9,107.9
30.4,18.4,30,0.767,47,0.638,40,0.35,0.586,0.624,13.9,6.3,111.6
29.6,15.3,19,1,46,0.435,24,0.375,0.479,0.549,9.6,13,103.8
34.5,19.3,18,0.833,66,0.424,44,0.409,0.5,0.53,13.9,21.7,107.1
36.7,29.8,40,0.9,121,0.421,58,0.31,0.436,0.488,21.3,35.7,100.5
28.3,17.2,31,0.742,39,0.59,40,0.45,0.633,0.664,13.7,7.4,130
18,20.6,16,0.75,25,0.44,34,0.235,0.39,0.439,6.4,16.8,91.5
32.8,21.8,39,0.744,81,0.481,31,0.323,0.482,0.53,15.2,10,100.7
13.7,12.3,4,0.25,4,0.5,22,0.364,0.538,0.522,3.6,2.7,99.1
5.3,24,2,1,11,0.636,5,0.2,0.531,0.563,2.4,14.9,84.9
4.4,6.4,2,1,2,0,3,0.333,0.3,0.425,0.5,10.9,112.5
34.9,27,33,0.818,110,0.473,11,0.273,0.467,0.517,20,13.1,112.3
18.8,15,6,0.833,17,0.353,21,0.381,0.474,0.504,5.9,8.5,106.3
35.8,27.8,44,0.864,118,0.492,1,0,0.487,0.557,22,21.6,115.8
30.3,13.7,9,0.667,25,0.48,31,0.484,0.616,0.625,10.7,4.7,122
25.5,22.7,17,0.824,51,0.392,19,0.421,0.457,0.503,11.1,10.1,103.7
21.8,15.3,10,0.6,21,0.524,22,0.136,0.36,0.39,5.3,22.5,98.7
25.3,11.2,9,0.556,35,0.657,1,0,0.639,0.638,7.3,9.8,144.4
27.2,24.6,26,0.731,58,0.621,17,0.294,0.58,0.613,15.1,18.2,110.8
20.1,13.9,8,0.5,6,0.5,31,0.258,0.405,0.42,4.9,1,83.8
6,16.6,2,1,12,0.417,2,0,0.357,0.403,1.7,0,92.7
7.4,30.8,4,0.75,20,0.4,10,0.2,0.367,0.394,3.6,6.1,73.4
7.5,14.1,9,0.778,10,1,0,0,1,0.967,3.9,9.8,169.4
28.3,20.1,11,0.636,41,0.512,37,0.378,0.538,0.549,13,18.9,110.2
32.4,12.8,8,0.75,17,0.412,30,0.433,0.564,0.584,9.8,19.8,118.2
33.6,27.8,33,0.848,67,0.388,43,0.302,0.414,0.478,19.8,12.5,99.1
28.8,17.6,20,0.85,42,0.452,18,0.5,0.542,0.596,13.7,16.5,124.6
23.5,17,10,0.8,20,0.55,23,0.522,0.674,0.696,11,5.3,114.1
26.3,21.5,26,0.692,62,0.742,1,0,0.73,0.739,18.3,15.3,138.4
29,11.7,10,1,7,0.429,31,0.323,0.474,0.542,7.7,7.6,104.2
10.5,11.4,10,0.7,4,0.5,7,0.143,0.318,0.455,2.3,4.1,94.5
29.4,32.6,41,0.829,86,0.453,18,0.333,0.462,0.533,21.7,45.4,110.6
9.4,12.2,6,0.833,12,0.667,1,1,0.731,0.767,4,5.9,165.2
5.8,13.8,2,1,4,0.25,5,0.6,0.611,0.658,2.2,9.2,127.9
22,18,20,0.85,32,0.594,0,0,0.594,0.674,11,15.9,130.7
23.9,15.1,8,1,14,0.143,24,0.292,0.329,0.397,6.6,2.3,90.2
26.3,23.5,14,0.714,38,0.474,24,0.375,0.508,0.536,14.6,10.2,103.4
15.7,8.1,6,0.5,3,0.667,7,0,0.2,0.277,1.4,4.9,69
29.9,15.1,8,1,22,0.545,21,0.19,0.419,0.473,8.8,2.9,89.3
28.9,26.9,29,0.724,47,0.511,26,0.462,0.575,0.612,21,18.9,118.3
29.6,33.4,13,0.846,65,0.385,37,0.324,0.422,0.45,19.4,22.1,89.9
15.8,10.7,5,0.6,4,0.5,11,0.273,0.433,0.465,3.2,8.4,102.5
28.2,17.3,16,0.875,20,0.5,21,0.476,0.61,0.666,12.8,25.5,128
18.3,13.1,7,0.857,18,0.556,0,0,0.556,0.617,5.2,7.8,112.7
18.5,20.4,8,0.875,23,0.435,8,0.25,0.419,0.478,6.6,24,93
35,21.4,8,0.75,35,0.457,34,0.235,0.406,0.427,12.4,10.7,81.6
32.8,22.5,19,0.526,42,0.5,20,0.4,0.532,0.54,15.2,22.3,103.8
27.3,15.7,8,0.875,20,0.35,20,0.2,0.325,0.379,6.6,2.5,85
12,17.7,9,1,9,0.333,9,0.333,0.417,0.546,4.8,11.7,112.6
29.2,21.7,17,0.824,19,0.421,35,0.343,0.481,0.537,13.2,9,97.8
29.5,23.2,14,0.786,45,0.4,13,0.231,0.388,0.436,11.2,19.3,88.6
31.8,14.6,8,0.375,41,0.683,1,0,0.667,0.648,11.8,7.2,115.6
11.4,11.9,2,0.5,5,0.4,8,0.25,0.385,0.396,2.2,7.4,82.2
25.6,10,0,0,7,0.286,18,0.389,0.5,0.5,5,6.5,95.8
40.8,29.9,49,0.816,54,0.537,47,0.319,0.51,0.583,28.6,15.4,110.1
35.2,12.1,13,0.692,20,0.55,20,0.45,0.613,0.634,11.6,3.4,125.2
11.8,16,9,0.778,9,0.333,7,0.286,0.375,0.476,3.8,12.1,110.2
12.1,18.3,2,0,20,0.6,0,0,0.6,0.575,4.8,0,104.2
30.1,19.5,18,0.722,35,0.543,20,0.3,0.509,0.548,13.8,18.1,114.7
39.4,31.5,26,0.885,77,0.377,34,0.324,0.41,0.466,22.8,46,100.4
26,18.1,19,0.737,16,0.5,30,0.3,0.467,0.524,11.4,5.2,114.1
20.6,20.4,19,0.684,33,0.697,3,0,0.639,0.665,11.8,7.8,130.6
30.4,14.3,23,0.783,32,0.594,0,0,0.594,0.665,11.2,7.7,129.3
30.1,12.7,0,0,8,0.5,29,0.276,0.432,0.432,6.4,25.9,98.6
38.6,32.5,33,0.727,69,0.362,43,0.256,0.371,0.423,21.4,15.5,83.1
11,18.6,0,0,9,0.556,13,0.308,0.5,0.5,4.4,16.4,100.4
27.4,17.6,4,0.75,22,0.591,23,0.348,0.556,0.567,10.6,10.3,97.3
33.5,22.8,20,0.85,46,0.522,20,0.2,0.455,0.515,15.4,46.4,108.5
9.2,15.3,5,1,8,0.25,6,0.5,0.464,0.556,3.6,21,128.5
13.1,16.3,4,1,6,0.667,10,0.1,0.344,0.422,3.8,5.2,80.4
36.9,23.8,17,0.882,41,0.439,22,0.318,0.452,0.511,18,14.1,104.4
29.2,22.7,6,1,34,0.441,11,0.364,0.467,0.504,12,25.6,97.8
21,32.9,14,0.571,28,0.357,20,0.55,0.552,0.563,15.3,8,99.7
21.3,13.4,2,1,15,0.533,9,0.444,0.583,0.603,7.5,8.5,127.9
29.7,15.2,3,1,9,0.222,21,0.333,0.417,0.447,7,10.8,80.8
24,19.2,14,0.643,25,0.44,4,0.25,0.431,0.484,8.5,29.1,109.6
31.5,15.9,13,0.615,21,0.524,14,0.214,0.443,0.479,9.8,8.1,101.9
32.6,17.6,7,0.571,34,0.471,8,0.25,0.452,0.466,10.5,20.5,104.9
14.2,12.5,2,1,9,0.444,5,0.2,0.393,0.437,3.3,5.1,89.4
31.9,24.4,21,0.429,53,0.453,1,0,0.444,0.451,14.3,11.9,95
32.8,12.1,2,1,13,0.308,22,0.318,0.414,0.432,7.8,5.5,96.7
27.5,13.7,0,0,9,0.222,25,0.36,0.456,0.456,7.8,5.3,97.5
27,28.4,7,0.857,44,0.432,21,0.429,0.5,0.521,17.8,49.8,119.1
33.2,16.6,6,0.833,32,0.438,15,0.6,0.585,0.604,15,8.7,119.9
7.5,14.7,3,0.667,2,0.5,6,0.333,0.5,0.536,2.5,0,102.7
17.2,20.1,9,0.889,14,0.5,12,0,0.269,0.367,5.5,8.6,85.7
20.2,22.7,4,0.75,31,0.29,7,0.143,0.276,0.302,6,26.4,77.3
17.1,15.4,9,0.778,12,0.5,8,0.25,0.45,0.522,6.3,6.4,115
9.7,24.8,3,0.667,18,0.5,0,0,0.5,0.518,5,4.3,107.2
