2P%,ORTG
0.462,118.4
0.389,97.4
0.535,105.5
0.536,118.9
0.526,116.8
0.541,110.2
0.397,110
0.5,110
0.524,119.5
0.591,109.9
0.466,115.7
0.688,138.9
0.593,107.7
0.465,107.3
0.397,104.2
0.567,108.3
0.3,108.6
0.556,111.4
0.567,126.4
0.521,112.2
0.459,111.7
0.464,108.3
0.311,99.5
0.628,119.9
0.536,111.5
0.522,101.7
0.629,116.7
0.614,138.7
0.561,122.5
0.661,116.1
0.404,112.9
0.4,95.3
0.37,112.6
0.485,125.8
0.525,118.9
0.537,126.1
0.513,111.4
0.452,99.1
0.462,113.6
0.533,122.2
0.649,131.8
0.537,102.7
0.438,69.4
0.304,105.5
0.515,119.4
0.476,108.7
0.486,106.6
0.621,118.1
0.548,128.6
0.472,99.4
0.552,119.7
0.561,115.2
0.527,107
0.182,91.9
0.48,110.2
0.576,108.8
0.452,133.1
0.467,105.4
0.688,113.5
0.625,125.2
0.471,107.5
0.333,66.5
0.649,114.1
0.417,103.6
0.407,109
0.692,106.1
0.444,106.4
0.75,107.9
0.638,111.6
0.435,103.8
0.424,107.1
0.421,100.5
0.59,130
0.44,91.5
0.481,100.7
0.5,99.1
0.636,84.9
0,112.5
0.473,112.3
0.353,106.3
0.492,115.8
0.48,122
0.392,103.7
0.524,98.7
0.657,144.4
0.621,110.8
0.5,83.8
0.417,92.7
0.4,73.4
1,169.4
0.512,110.2
0.412,118.2
0.388,99.1
0.452,124.6
0.55,114.1
0.742,138.4
0.429,104.2
0.5,94.5
0.453,110.6
0.667,165.2
0.25,127.9
0.594,130.7
0.143,90.2
0.474,103.4
0.667,69
0.545,89.3
0.511,118.3
0.385,89.9
0.5,102.5
0.5,128
0.556,112.7
0.435,93
0.457,81.6
0.5,103.8
0.35,85
0.333,112.6
0.421,97.8
0.4,88.6
0.683,115.6
0.4,82.2
0.286,95.8
0.537,110.1
0.55,125.2
0.333,110.2
0.6,104.2
0.543,114.7
0.377,100.4
0.5,114.1
0.697,130.6
0.594,129.3
0.5,98.6
0.362,83.1
0.556,100.4
0.591,97.3
0.522,108.5
0.25,128.5
0.667,80.4
0.439,104.4
0.441,97.8
0.357,99.7
0.533,127.9
0.222,80.8
0.44,109.6
0.524,101.9
0.471,104.9
0.444,89.4
0.453,95
0.308,96.7
0.222,97.5
0.432,119.1
0.438,119.9
0.5,102.7
0.5,85.7
0.29,77.3
0.5,115
0.5,107.2
0.469,125.1
0.167,50.1
0.3,105.6
0.333,104.9
1,164.6
0.7,161.7
0.667,86.5
0.333,79.4
0.2,48.3
0.429,92
0.625,108
0.667,188.2
0,113.8
0.4,97.5
0.667,62.1
1,106.6
0.5,159
0.439,89.9
0.5,99.8
0.25,88.3
0.333,74.1
0.462,116.5
1,55.7
0,72.8
0,77.5
0.5,80.2
